[2026-02-15T21:18:44.791Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"857ffdbc-2b8c-4c10-bda6-f051ce6be66d","userName":"brave-bronze","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:18:44.796Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"owner"}
[2026-02-15T21:18:48.698Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"539564d0-de3a-4ada-beff-23addecc1279","userName":"happy-lime","roomId":"a8408585-e4e1-46dd-9850-d3ca8cac9b39","role":"owner"}
[2026-02-15T21:19:02.007Z] [INFO] [ROOM_CREATED] Room created | {"roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","ownerId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","ownerName":"smart-bronze"}
[2026-02-15T21:19:02.454Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"6f4e0d4c-d3c4-4a2d-a81e-a62c68982b6e","userName":"smart-bronze","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"owner"}
[2026-02-15T21:19:04.134Z] [INFO] [ROOM_JOIN_ATTEMPT] User attempting to join room | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest"}
[2026-02-15T21:19:04.134Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true}
[2026-02-15T21:19:24.589Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:19:25.904Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:19:26.295Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:19:26.491Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
[2026-02-15T21:19:26.593Z] [INFO] [ROOM_JOIN_SUCCESS] User joined room successfully | {"userId":"1b164839-ba58-49e0-b556-25330680828a","userName":"proud-blue","roomId":"b6938631-0fc5-4eee-8376-67e468787ed6","role":"guest","success":true,"reason":"Rejoining existing room"}
